ID,Anio,PIB_Precios_Constantes,PIB_Corriente_USD,PIB_Crecimiento_Anual_Porcentaje,Ingreso_Per_Capita_USD,Poblacion_Total,Migracion_Neta,Pobreza_Tasa_Armonizada_CEPAL,Desempleo_Porcentaje,Inflacion_Porcentaje,Homicidios_Por_100k,origen
1,1960,26275664125.0674,4211103676.74027,,3222.68320691095,8153350,-27184,,,,,CP
2,1961,27725978494.5169,4948564550.91046,5.51961070344885,3330.52707974518,8324802,-27159,,,,,CP
3,1962,28815827040.3647,5765971144.47142,3.93078479110629,3391.27067852121,8497059,-28023,,,,,CP
4,1963,30454488579.4691,5702520146.03167,5.68667190016438,3512.5701002739,8670144,-29082,,,,,CP
5,1964,31204014436.8887,6065708668.32735,2.46113427734542,3528.8579265412,8842525,-31261,,,,,CP
6,1965,31413343021.734,6183988944.34606,0.670838636062939,3485.3610467235,9012938,-33988,,,,,CP
7,1966,35014387052.3099,7256882086.19585,11.4634218589357,3813.4880420372,9181722,-36446,,,,,CP
8,1967,36270742031.799,7145068067.64138,3.58811073177469,3879.66399521903,9348939,-38159,,,,,CP
9,1968,37566955711.0659,7286820526.02462,3.57371701447551,3948.30026572163,9514716,-38224,,,,,CP
10,1969,39108395437.0641,8456519044.38223,4.10317976748962,4040.0058011806,9680282,-36976,,,,,CP
11,1970,39771076474.1111,9261006540.15907,1.69447257971353,4039.58221003868,9845344,-36079,,,,,CP
12,1971,43577595609.5563,10999807567.1235,9.57107393842624,4353.53619549239,10009701,-34147,,,20.0522312040536,,CP
13,1972,43267163670.3658,12057501634.979,-0.712365918422577,4252.43567121887,10174678,-32584,,,77.7957404755204,,CP
14,1973,41087469485.9866,17237336172.7878,-5.03775611682208,3973.5039726836,10340362,-31878,,,352.810986573029,,CP
15,1974,41600890292.2375,16584311220.1384,1.2495800122858,3959.79582475475,10505817,-31211,,,504.738541215978,,CP
16,1975,36494895964.0875,7812161793.11971,-12.2737621533613,3419.8279711603,10671559,-30524,,,374.735274232635,,CP
17,1976,37810425597.6727,10523479088.8075,3.60469484521828,3488.60951805533,10838251,-29967,,,211.924302225904,,CP
18,1977,42025983481.558,14272711436.7475,11.1491944807539,3818.62804303532,11005519,-29651,,,91.9541325565104,,CP
19,1978,45399335593.8651,16373093553.7155,8.02682491365691,4063.41850322282,11172695,-29644,,,40.0872246313854,,CP
20,1979,49229142623.601,22249574627.6911,8.43582175738598,4341.27884005509,11339779,-29873,,,33.3892190102252,,CP
21,1980,53252287646.3653,29586676576.0951,8.17228334347537,4627.19349061049,11508550,-28060,,,35.1383405330485,,CP
22,1981,56830116589.3263,35180322211.2903,6.71863895635887,4866.12669776366,11678717,-28096,,,19.6868327084319,,CP
23,1982,50293481314.1023,19710229067.2864,-11.5020620535762,4244.09899383271,11850214,-26646,,,9.94102693041832,,CP
24,1983,47811382482.5795,20629678694.0684,-4.9352297090374,3975.62230556306,12026138,-23386,,,27.2571946726204,,CP
25,1984,49716049397.1484,19974595028.1582,3.98371018713553,4072.50464907353,12207733,-21188,,,19.8602056602626,,CP
26,1985,51482161643.7612,17933557359.8036,3.55239860775048,4153.37019930025,12395274,-18047,,,30.7034989096151,,CP
27,1986,54265063038.9036,19197818084.6757,5.40556438635799,4310.54362901388,12588914,-17148,,,19.4768379232582,,CP
28,1987,57921900186.3915,22605488850.8981,6.73884253090458,4528.6333769652,12790150,-11958,21.7,,19.8808457201905,,CP
29,1988,62179629420.7548,26174858613.8456,7.35081069623416,4783.26035220905,12999424,-9131,,,14.684351250082,,CP
30,1989,68620417335.9924,30101767991.1135,10.3583568690228,5192.61380044824,13215005,-6186,,,17.0279367308962,,CP
31,1990,71089876109.5537,33428580448.2715,3.59872304691744,5290.53694835535,13437176,-1274,16.0,,26.0364811362364,,CP
32,1991,76603750426.1864,38232330917.2011,7.75620189312957,5606.86557277047,13662491,-2207,,5.23,21.7844124277757,,CP
33,1992,85414661278.3917,46538895685.8088,11.5019314370192,6151.76546454326,13884577,0,11.1,4.35,15.4258064688928,,CP
34,1993,91125130548.8196,49934943320.8828,6.6855844008042,6461.73217350303,14102276,1164,,4.49,12.7277669490964,,CP
35,1994,95751374590.6832,57438273591.0521,5.07680374667352,6688.29717704707,14316256,1930,10.5,5.87,11.4431196444973,,CP
36,1995,104613573720.419,73820425701.6603,9.25542757753573,7201.13100361441,14527381,2454,,4.7,8.23263034116114,,CP
37,1996,112056685779.901,78584098983.6374,7.1148626270751,7605.28953010603,14734046,2942,8.0,7.414,7.35911781788767,,CP
38,1997,120339623825.598,85741415285.165,7.3917392684331,8058.94228801535,14932434,3504,,7.136,6.13386464357927,,CP
39,1998,125370887065.113,81990010704.0602,4.18088662700669,8287.45061096547,15127799,10984,7.4,7.307,5.11024954517559,,CP
40,1999,125027832953.909,75578685735.5219,-0.2736313981937,8161.45168872186,15319313,8226,,11.158,3.33687917526023,,CP
41,2000,131243743563.397,78339750721.364,4.9716214882971,8465.35303258864,15503635,7067,8.6,10.491,3.84327295706565,,CP
42,2001,135383217071.739,71574739561.4329,3.15403492459967,8632.0148244056,15683849,6346,,10.39,3.56910053001467,,CP
43,2002,139719269577.32,70264045939.2773,3.20279913520113,8810.69052712257,15857925,7824,,10.168,2.48939816650705,,CP
44,2003,146318553366.968,76492579644.0605,4.72324526861041,9130.7842621819,16024752,9225,7.9,9.765,2.8101787574361,3.20129769251024,CP
45,2004,156084225513.955,99075985773.6682,6.67425416822923,9642.37478651228,16187322,11495,,10.162,1.05473871403517,,CP
46,2005,165194933117.629,122294145163.192,5.83704571917758,10104.4208391373,16348778,14289,,9.34,3.05257621387849,3.52319921168418,CP
47,2006,175189211415.667,153843518170.864,6.04999082563968,10611.6144012877,16509195,17285,3.3,9.024,3.39201733699405,3.57376612166027,CP
48,2007,184243394522.927,172491076033.863,5.16823098528431,11051.3450717678,16671581,20170,,8.427,4.40779938398044,3.6949106294991,CP
49,2008,191225100461.158,179894594475.405,3.78939280635238,11356.0922105983,16838988,22488,,9.285,8.71626873039607,3.4918963063576,CP
50,2009,189087132632.604,171777900623.892,-1.11803723642878,11116.4093443103,17009731,24324,2.6,11.313,0.353045178360937,3.70376238471268,CP
51,2010,200151851762.225,217051209238.534,5.85165102224047,11649.2897090856,17181464,26048,,8.547,1.41071107954321,3.14874215608169,CP
52,2011,212609096429.355,251382573893.87,6.22389678509138,12252.8441074615,17351816,28086,1.7,7.492,3.34121694259302,3.66532251337043,CP
53,2012,225695909224.96,267024782486.855,6.15534001855494,12882.834417927,17519119,30870,,6.79,3.00744840213047,2.47729352143792,CP
54,2013,233163076995.037,277395018842.417,3.30850824710085,13182.7329619856,17687006,36529,0.8,6.361,1.7895555398459,3.14355060592079,CP
55,2014,237342873662.271,259560978224.359,1.79264947139259,13285.9540361192,17864195,52702,,6.761,4.71867527854672,2.4518317226161,CP
56,2015,242450355830.884,242450355830.884,2.15194249981184,13433.9202987032,18047625,55689,0.7,6.605,4.34877353217044,2.32163505387454,CP
57,2016,246700604515.86,249344863928.438,1.753038749071,13505.097711133,18267221,135864,,6.926,3.78619355893118,3.39405749254204,CP
58,2017,250050047209.619,276154259981.097,1.35769537343957,13473.3458532934,18558868,220621,0.5,7.257,2.18271846868519,4.19745439747334,CP
59,2018,260027117802.785,295857562991.709,3.99002947789977,13763.0068844795,18893191,237807,,7.623,2.43488981353057,4.36665251518391,CP
60,2019,261702273348.86,278308438545.118,0.644223402631923,13631.9284885172,19197744,181339,,7.493,2.55754475703327,4.81306553520039,CP
61,2020,245634546877.039,254103710483.324,-6.1396969411886,12680.7761524378,19370624,26042,1.7,10.934,3.04549084804326,5.75613878004137,CP
62,2021,273483125955.671,315507493783.262,11.3374032409913,14056.251601955,19456334,65480,,9.281,4.52456838259144,4.65658124495601,CP
63,2022,279127595176.477,301099244104.003,2.06391864254198,14275.4094646211,19553036,59374,0.6,8.249,11.643866711056,6.80201256720408,CP
64,2023,281017358307.658,335802745366.38,0.677024831595858,14294.7106635595,19658835,62679,,9.013,7.58168251407962,6.34829073035101,CP
65,2024,288900250332.819,329260633698.726,2.80512637106611,14616.9287938028,19764771,58316,0.4,8.718,4.29763891572524,,CP
66,2025,296005043455.575,357371159574.862,2.45925474781374,14904.6435509776,19859921,51712,,8.974,4.21293601694293,,CP
